ip_hash,group,map_pref,map_pref_explain,first_map,bivariate_highVax_highCase_duration,bivariate_highVax_highCase_state,bivariate_highVax_highCase_difficulty,bivariate_highVax_highCase_difficulty_explain,univariate_highVax_highCase_duration,univariate_highVax_highCase_state,univariate_highVax_highCase_difficulty,univariate_highVax_highCase_difficulty_explain,bivariate_highVax_lowCase_duration,bivariate_highVax_lowCase_state,bivariate_highVax_lowCase_difficulty,bivariate_highVax_lowCase_difficulty_explain,univariate_highVax_highCase_GRADE,bivariate_lowVax_highCase_duration,bivariate_lowVax_highCase_state,bivariate_lowVax_highCase_difficulty,bivariate_lowVax_highCase_difficulty_explain,univariate_highVax_lowCase_duration,univariate_highVax_lowCase_state,univariate_highVax_lowCase_difficulty,univariate_highVax_lowCase_difficulty_explain,bivariate_lowVax_lowCase_duration,bivariate_lowVax_lowCase_state,bivariate_lowVax_lowCase_difficulty,bivariate_lowVax_lowCase_difficulty_explain,univariate_highVax_lowCase_GRADE,univariate_lowVax_highCase_duration,univariate_lowVax_highCase_state,univariate_lowVax_highCase_difficulty,univariate_lowVax_highCase_difficulty_explain,univariate_lowVax_highCase_GRADE,univariate_lowVax_lowCase_duration,univariate_lowVax_lowCase_state,univariate_lowVax_lowCase_difficulty,univariate_lowVax_lowCase_difficulty_explain,univariate_lowVax_lowCase_GRADE,bivariate_highVax_highCase_GRADE,bivariate_highVax_lowCase_GRADE,bivariate_lowVax_highCase_GRADE,bivariate_lowVax_lowCase_GRADE
06c989ecceccdb1e602152cbb43f560e10ab1e5e5bcb0b8c7d4d795e5991a3bc,d,bivariate,It helps you compare better,univariate,4.689,Washington,2.0,"The colors were differentiated enough, but still took some time to acclimate to maps",10.319,New York,3.0,It took some time to compare the two maps and find highest rates,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
09261e9f04db0b3429af8628e947bbf1d534bbdab6b0691f388df90233e4ae42,d,univariate,It's a lot easier to understand the color concentration of the Map,univariate,18.686,Massachusetts,3.0,It seems to be a little difficult but if look closely you can see the colors,7.147,New York,4.0,Because the colors are all around,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
148909ad2fb71629e21f7a6470e9e267ddb8b055357162802b6540d6b72cc8c4,d,univariate,"With everything combined, it made the map busier (and at the size I viewed it).",univariate,2.057,Florida,5.0,It's hard to tell from the colors and the way they were integrated if I got everything right.,33.298,Florida,3.0,"The two separate graphics, matching and sizing the selections made it slightly difficult (along with the tone that was used). Different colors representing density would have made it easier.",,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
202fd7da0267d2d0d6f931757d7caa442f8e52703456b947b7b6ec4f20f4616f,d,bivariate,it seems more correct,univariate,31.877,Washington,2.0,it seems right,15.752,Arizona,2.0,it seems right,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
24291fb7ccfb375ed883fa84c7ab359ae3b506c5689b592e596116edc4bc52c9,d,bivariate,It was easier to use the grid than to look at 2 maps,univariate,6.312,Utah,3.0,"There was a lot of color, but I was able to distinguish between them",17.11,Florida,5.0,It was difficult to find the dark green areas,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
25aadde0968eb8c167a5c22d52c5feaf315dd6a202f1373c432d7c4b262f0e56,d,bivariate,Its easier to correlate the information,univariate,5.595,Tennessee,1.0,It was very simple,11.436,Florida,3.0,Was mildly hard,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2660229e53a645008c984def799190b4a6a61ed5e617d1cb66c5516c055cc494,d,univariate,easier to compare,univariate,14.352,Oregon,4.0,not make sense,9.849,Florida,2.0,not bad,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2ca20b6a759e47854f9dab5fdb6656e43f5018318ea3a0b9ea08db8c5bd2b6e5,d,univariate,easier to decipher,univariate,10.354,Kentucky,2.0,had to make a choice,17.587,Maine,1.0,because it wasn't difficult,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
30b20fb1d2022821a88a739f6691066826e68bfb09bb07a90be9df1a5ae5b040,d,univariate,It is easier to tell what I am looking at.,univariate,13.71,Ohio,5.0,I couldn't understand the colors/map.,19.288,Florida,3.0,It was a little difficult to compare both and decide.,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4292a9cfe0ca3514c70874cc52959f2fcdf85734d232bd3267b1b754fbe12908,d,univariate,More topic specific.,univariate,11.627,Wyoming,4.0,Sloppy graphics.,4.195,Maine,3.0,Sloppy map graphics.,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4c84228d2f8e05e095625262527c97c2315d02f852981b448f7c95ade74075c1,d,univariate,Association of colors with the question,univariate,12.098,Tennessee,1.0,I could easily see the color,21.672,Connecticut,1.0,I could easily see the state was completely covered,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4fa9f99dfddbe4f731d1da579ee386003a5e9882f0ddf6cc61fbde279828c516,d,univariate,The two maps were easier to see,univariate,10.624,Wyoming,1.0,easy,13.448,Arizona,1.0,Very easy,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f35b07c80e28b3786430d6b411e902065a6f8894a7f16120000ce699f761513,d,bivariate,It was easier to assess the two criteria in a given state when they were presented side by side as in the map option I chose,univariate,26.016,Florida,5.0,Trying to find the concentration of participants/watchers involved two different criteria which were not correlated,29.808,Tennessee,4.0,There was not an exact correspondence of the two criteria and there was a spectrum of shades which made comparison difficult,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
633645140ceeb7c0dfc40e73e118f73547f228955733382de973acb856ae8d33,d,bivariate,It was easier to view what I was looking for.,univariate,4.766,Wyoming,4.0,4,4.016,Pennsylvania,3.0,3,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
684882ad6bbd9e453120611dadd30ad2dd230f8fb95496afe3d8fcdbb01a4298,d,bivariate,i don't have to eyeball back and forth between the two,univariate,6.837,Kentucky,2.0,the darker makes it easier to find,24.981,Kentucky,3.0,it was easy to see the basketball but not so much the youth sports,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7407bb69e498ce99e0a58c65845304839d270bb65cd9cf574e96f0e5d3aabea4,d,bivariate,it feels more complete,univariate,8.543,Washington,5.0,still simple,6.544,Arizona,5.0,it was very simple,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7e4c8144889e36efc24912336dc22d001959f5733daa917fc6c4222da6dba940,d,univariate,It was a lot easier to read.,univariate,14.402,Oregon,1.0,Easy task.,6.928,New York,1.0,It was easy.,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
85d804074c281e489dbd47ca325dcb307078511b75177d5da5dc3fd097fd678d,d,univariate,MORE DEFINED,univariate,7.749,Florida,1.0,5 STARS,6.741,Maine,1.0,5 STARS,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8b1768f599033ca3df5279ac80e25331bc35e5ea548588d6beb3c4196b158ef2,d,univariate,Easier to read,univariate,37.725,Kentucky,4.0,Population,11.756,New York,1.0,New York was mostly green and is very heavy in population,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8e8453f06c52cee0fce79eb62d2f2f6bd4e1a70ceb8a0b8e5e47e344d7958169,d,bivariate,better to see,univariate,12.412,New Mexico,2.0,it was thicker,17.141,Wyoming,2.0,i could see the darker to the lighter,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
