FIPS,County,State,Cases - last 7 days per 100k,% total pop fully vaccinated,Vaccination county reporting completeness,bivairate_colorCode,vaxRate_colorCode,caseRate_colorCode
1001,Autauga County,AL,513.7,31.6,92.2,#D47A91,#E6E6E6,#D47A91
1003,Baldwin County,AL,404.96,39.8,92.2,#797691,#8FD3C2,#D47A91
1005,Barbour County,AL,469.9,33,92.2,#AA778E,#BDDFD6,#D47A91
1007,Bibb County,AL,714.48,27.8,92.2,#CD334C,#E6E6E6,#CD334C
1009,Blount County,AL,572.41,23.7,92.2,#CD334C,#E6E6E6,#CD334C
1011,Bullock County,AL,356.4,40.6,92.2,#85B0BC,#8FD3C2,#DCB2BD
1013,Butler County,AL,596.46,31,92.2,#CD334C,#E6E6E6,#CD334C
1015,Calhoun County,AL,678.67,36.4,92.2,#A52948,#BDDFD6,#CD334C
1017,Chambers County,AL,544.3,25,92.2,#CD334C,#E6E6E6,#CD334C
1019,Cherokee County,AL,496.26,25.5,92.2,#D47A91,#E6E6E6,#D47A91
1021,Chilton County,AL,524.44,27.6,92.2,#D47A91,#E6E6E6,#D47A91
1023,Choctaw County,AL,119.15,50.9,92.2,#65C7A6,#65C7A6,#E6E6E6
1025,Clarke County,AL,431.8,40.1,92.2,#797691,#8FD3C2,#D47A91
1027,Clay County,AL,725.35,32.6,92.2,#A52948,#BDDFD6,#CD334C
1029,Cleburne County,AL,476.19,24.2,92.2,#D47A91,#E6E6E6,#D47A91
1031,Coffee County,AL,443.24,30.6,92.2,#D47A91,#E6E6E6,#D47A91
1033,Colbert County,AL,419.98,39.6,92.2,#AA778E,#BDDFD6,#D47A91
1035,Conecuh County,AL,629.82,33.4,92.2,#A52948,#BDDFD6,#CD334C
1037,Coosa County,AL,656.48,32.9,92.2,#A52948,#BDDFD6,#CD334C
1039,Covington County,AL,639.69,29.9,92.2,#CD334C,#E6E6E6,#CD334C
1041,Crenshaw County,AL,631.72,27.4,92.2,#CD334C,#E6E6E6,#CD334C
1043,Cullman County,AL,638.67,31.2,92.2,#CD334C,#E6E6E6,#CD334C
1045,Dale County,AL,573.5,41.7,92.2,#6E1E45,#8FD3C2,#CD334C
1047,Dallas County,AL,271.53,32.7,92.2,#B2B0BC,#BDDFD6,#DCB2BD
1049,DeKalb County,AL,489.42,25.3,92.2,#D47A91,#E6E6E6,#D47A91
1051,Elmore County,AL,497.48,34.5,92.2,#AA778E,#BDDFD6,#D47A91
1053,Escambia County,AL,728.85,27.6,92.2,#CD334C,#E6E6E6,#CD334C
1055,Etowah County,AL,563.23,31.8,92.2,#CD334C,#E6E6E6,#CD334C
1057,Fayette County,AL,570.48,27.9,92.2,#CD334C,#E6E6E6,#CD334C
1059,Franklin County,AL,589.89,35,92.2,#A52948,#BDDFD6,#CD334C
1061,Geneva County,AL,837.43,30.5,92.2,#CD334C,#E6E6E6,#CD334C
1063,Greene County,AL,246.58,38.6,92.2,#B2B0BC,#BDDFD6,#DCB2BD
