ip_hash,user_agent,group,platform,age,gender,education,map_comfort,colorblind,robot_duration,robot_state,map1_q1_duration,map1_q1_state,map1_q1_date,map1_q2_duration,map1_q2_state,map1_q2_date,map1_difficulty,map1_difficulty_explain,map2_q1_duration,map2_q1_state,map2_q1_date,map2_q2_duration,map2_q2_state,map2_q2_date,map2_difficulty,map2_difficulty_explain,map_pref,map_pref_explain,prime_panel_participant
047c635afcb0cffa159c285255e4b9b66c255c27658f2ad828198b84c35d10f9,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:104.0) Gecko/20100101 Firefox/104.0,e,desktop,58,male,high_school,3,no,2604,West Virginia,9246,Wyoming,Tue Aug 30 2022 15:44:43 GMT-0400 (Eastern Daylight Time),6203,Wyoming,Tue Aug 30 2022 15:44:57 GMT-0400 (Eastern Daylight Time),3,kind of hard,11342,Oregon,Tue Aug 30 2022 15:45:28 GMT-0400 (Eastern Daylight Time),17443,Wyoming,Tue Aug 30 2022 15:45:53 GMT-0400 (Eastern Daylight Time),4,hard to figure out,bivariate,easier to follow,630e683b-85d5-0f17-a2f1-2f9a8c73f09a
060b059ee600dff24f51afda24b368cd97a3d246d48c0d22d07819c627d29bce,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",e,desktop,66,female,some_college,4,no,2038,West Virginia,7351,New York,Tue Aug 30 2022 12:52:04 GMT-0700 (Pacific Daylight Time),16413,Nebraska,Tue Aug 30 2022 12:52:24 GMT-0700 (Pacific Daylight Time),3,Reading the gragh was so so,14118,Wyoming,Tue Aug 30 2022 12:53:17 GMT-0700 (Pacific Daylight Time),7567,Nebraska,Tue Aug 30 2022 12:53:30 GMT-0700 (Pacific Daylight Time),3,Little difficult because some was solid and some scattered,univariate,one was too jumbled,630e698c-ecaf-e3cd-6ceb-4bfb9e796968
06c989ecceccdb1e602152cbb43f560e10ab1e5e5bcb0b8c7d4d795e5991a3bc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",d,desktop,22,male,college,5,no,1838,West Virginia,7027,Wyoming,Tue Aug 30 2022 12:19:17 GMT-0500 (Central Daylight Time),10319,New York,Tue Aug 30 2022 12:19:34 GMT-0500 (Central Daylight Time),3,It took some time to compare the two maps and find highest rates,16700,Nevada,Tue Aug 30 2022 12:20:16 GMT-0500 (Central Daylight Time),4689,Washington,Tue Aug 30 2022 12:20:24 GMT-0500 (Central Daylight Time),2,"The colors were differentiated enough, but still took some time to acclimate to maps",bivariate,It helps you compare better,630e4606-ad41-547d-67ce-096f71cf4e66
06fdacbaa7bb11b35b3c8dcee7d68bb2d1e5ebdd1b3493602883df1b5fbed619,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",h,desktop,41,male,college,4,no,4082,West Virginia,3202,Wyoming,Tue Aug 30 2022 16:12:29 GMT-0400 (Eastern Daylight Time),5131,Wyoming,Tue Aug 30 2022 16:12:37 GMT-0400 (Eastern Daylight Time),1,1,10975,Maine,Tue Aug 30 2022 16:12:59 GMT-0400 (Eastern Daylight Time),8009,Tennessee,Tue Aug 30 2022 16:13:11 GMT-0400 (Eastern Daylight Time),1,1,univariate,2 options are better than 1,630e6e13-7f43-fe7f-c6a0-5f04012dca92
0730b595af54db20d25b20fea27fae0885eeb935b74029aa126907b5bda50790,"Mozilla/5.0 (X11; CrOS aarch64 14909.100.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",c,desktop,37,female,graduate,5,no,2255,West Virginia,1831,Iowa,Mon Aug 29 2022 16:56:27 GMT-0400 (Eastern Daylight Time),1262,Virginia,Mon Aug 29 2022 16:56:30 GMT-0400 (Eastern Daylight Time),3,It was alittle difficult.,3282,New Mexico,Mon Aug 29 2022 16:56:51 GMT-0400 (Eastern Daylight Time),183935,Colorado,Mon Aug 29 2022 16:59:57 GMT-0400 (Eastern Daylight Time),1,It wasn't difficult because I could just click on something,bivariate,It has many colors and it is nice,630d274e-61af-bf7d-dad9-f58e16ffff04
09261e9f04db0b3429af8628e947bbf1d534bbdab6b0691f388df90233e4ae42,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",d,desktop,61,male,high_school,4,no,2357,West Virginia,18893,Kentucky,Tue Aug 30 2022 12:13:40 GMT-0500 (Central Daylight Time),7147,New York,Tue Aug 30 2022 12:14:01 GMT-0500 (Central Daylight Time),4,Because the colors are all around,16852,New York,Tue Aug 30 2022 12:15:02 GMT-0500 (Central Daylight Time),18686,Massachusetts,Tue Aug 30 2022 12:15:34 GMT-0500 (Central Daylight Time),3,It seems to be a little difficult but if look closely you can see the colors,univariate,It's a lot easier to understand the color concentration of the Map,630e4437-68bb-1c20-80a4-096738a278a2
0941a3246fa0593381eaa59671e9bfc11eba6b932d2f024f040bc32c09b6783e,"Mozilla/5.0 (X11; CrOS aarch64 14909.124.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",f,desktop,32,female,some_college,5,no,7530,West Virginia,16183,California,Tue Aug 30 2022 15:45:46 GMT-0400 (Eastern Daylight Time),13849,Nebraska,Tue Aug 30 2022 15:46:03 GMT-0400 (Eastern Daylight Time),1,This was not that hard either,15636,Wyoming,Tue Aug 30 2022 15:46:48 GMT-0400 (Eastern Daylight Time),16560,Arizona,Tue Aug 30 2022 15:47:22 GMT-0400 (Eastern Daylight Time),2,That wasn't hard either,bivariate,I like it mixed in like the one above,630e6808-bdd6-d1c7-7bc2-934229b0306c
0a64c33afcdaac3f273052b05254a5270cce9799b42df0c33a394f78e1ed9f73,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",c,desktop,43,male,some_college,3,no,5079,West Virginia,11207,Tennessee,Tue Aug 30 2022 11:31:56 GMT-0600 (Mountain Daylight Time),7374,Florida,Tue Aug 30 2022 11:32:07 GMT-0600 (Mountain Daylight Time),3,3,5260,New Mexico,Tue Aug 30 2022 11:33:32 GMT-0600 (Mountain Daylight Time),8676,Florida,Tue Aug 30 2022 11:33:42 GMT-0600 (Mountain Daylight Time),3,3,univariate,more clear,630e4817-cfa9-55ca-a6b6-6323f73fbd0b
0af3002b8c030e2a21c42b44bfe53f4800636e773f641334280ef44c9896bf00,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",g,desktop,42,female,high_school,5,no,2886,West Virginia,13359,Washington,Tue Aug 30 2022 15:38:55 GMT-0400 (Eastern Daylight Time),23858,Georgia,Tue Aug 30 2022 15:39:24 GMT-0400 (Eastern Daylight Time),4,because it was hard to distingouse,6874,Tennessee,Tue Aug 30 2022 15:40:19 GMT-0400 (Eastern Daylight Time),1839,Tennessee,Tue Aug 30 2022 15:40:25 GMT-0400 (Eastern Daylight Time),5,two maps,bivariate,easier to read and follow,630e6671-fb92-df4f-4e16-18a395915c41
0b852047bc03949e08fecb1e90e9aa160bf09bb829a8dacee878728047d8657d,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",e,desktop,72,female,college,4,no,4657,West Virginia,33980,Maine,Mon Aug 29 2022 14:02:46 GMT-0700 (Mountain Standard Time),12888,Nebraska,Mon Aug 29 2022 14:03:08 GMT-0700 (Mountain Standard Time),3,There is a lot of detail in the map.,16009,Wyoming,Mon Aug 29 2022 14:03:51 GMT-0700 (Mountain Standard Time),32117,Maine,Mon Aug 29 2022 14:04:31 GMT-0700 (Mountain Standard Time),3,Two maps had to be compared.,bivariate,It is easier to decipher one map than try to accommodate two images.,630d28d5-f452-8b00-c98c-beee561544be
